X,Y,id,gen,feb,mar,apr,mag,giu,lug,ago,sett,ott,nov,dic,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE,tot_mesi
-117.0233,32.7675,USC00044735,43.14,40.49,69.88,20.59,3.42,1.91,0.49,1.42,9.07,14.26,56.33,45.69,32.7675,-117.0233,161.5,CA,306.69
-121.5011,41.7019,USC00044838,26.35,59.92,45.58,28.14,30.81,17.79,22.95,15.36,19.48,31.8,54.4,27.75,41.7019,-121.5011,1453.9,CA,380.33
-119.1194,37.9567,USC00044881,38.54,58.8,47.18,15.37,17.61,6.18,16.97,17.23,11.89,29.15,78.52,42.26,37.9567,-119.1194,2071.7,CA,379.7
-119.0264,36.3817,USC00044890,58.85,54.82,74.57,30.6,8.01,3.23,0.61,1.89,13.17,15.22,52.05,37.77,36.3817,-119.0264,156.4,CA,350.79
-119.0545,36.2033,USC00044957,51.52,47.48,65.77,23.44,4,3.59,0.18,0.53,10.39,13.57,44.41,31.62,36.2033,-119.0545,132.6,CA,296.5
-121.7692,37.6922,USC00044997,64.18,66.89,73.06,24,7.5,1.87,0.08,1.48,11.59,22.74,63.07,48.55,37.6922,-121.7692,146.3,CA,385.01
-118.7325,36.6044,USC00045026,179.02,209.87,212.85,87.16,28.51,8.97,12.72,13.89,44.54,45.21,171.28,151.13,36.6044,-118.7325,2052.8,CA,1165.15
-121.2878,38.1061,USC00045032,72.44,69.17,96.82,33.16,11.12,3.79,0.05,0.46,18.91,29.61,84.29,63.71,38.1061,-121.2878,12.2,CA,483.53
-120.4514,34.6539,USC00045064,61.86,54.26,74.06,27.81,3.61,0.37,0,1.81,4.86,13.58,45.48,52.84,34.6539,-120.4514,29,CA,340.54
-120.8667,37.0564,USC00045118,35.63,36.07,46.85,17.64,6.79,1.35,0.06,0.56,14.33,12.61,37.74,31.27,37.0564,-120.8667,36.6,CA,240.9
-120.9297,36.9897,USC00045120,28.09,29.34,38.16,13.85,6.15,16.08,0.08,0.28,15.06,9.99,31.91,26.97,36.9897,-120.9297,124.1,CA,215.96
-121.9592,37.2319,USC00045123,93.68,94.74,105.33,36.18,9.39,1.64,0.23,0.42,12.08,28.21,78.93,72.78,37.2319,-121.9592,111.3,CA,533.61
-120.0378,36.9539,USC00045233,44.33,46.28,64.81,28.06,9.67,0.66,0,0.39,6.6,20.16,40.43,33.92,36.9539,-120.0378,82.3,CA,295.31
-121.5767,40.5411,USC00045311,117.93,138.9,151.19,66.83,62.71,35.2,11.85,13.94,57.28,85.25,192.29,120.44,40.5411,-121.5767,1752.6,CA,1053.81
-122.1242,38.4917,USC00045360,114.68,127.85,128.7,40.36,12.47,2.45,0.05,1.33,18.06,34.66,108.88,91.64,38.4917,-122.1242,146.3,CA,681.13
