ID;LATITUDE;LONGITUDE;ELEVATION;STATE;NAME;GSNFLAG;HCNFLAG;WMOID;METHOD;field_11;field_12;field_13;field_14
USW00023152;34.2006;-118.3575;225.9;CA;BURBANK;GLENDALE;PASADENA;AP;72288;;;;
USW00023155;35.4344;-119.0542;149;CA;BAKERSFIELD;AP;72384;;;;;;
USW00023156;33.9286;-116.9814;789.7;CA;BEAUMONT;#2;;;;;;;
USW00023157;37.3711;-118.3581;1250.3;CA;BISHOP;AP;72480;;;;;;
USW00023158;33.6186;-114.7142;120.4;CA;BLYTHE;AP;;;;;;;
USW00023161;34.8536;-116.7858;584.3;CA;BARSTOW;DAGGETT;AP;;;;;;
USW00023174;33.9381;-118.3889;29.6;CA;LOS;ANGELES;INTL;AP;72295;;;;
USW00023179;34.7675;-114.6189;271.3;CA;NEEDLES;AP;HCN;;;;;;
USW00023182;34.6294;-118.0836;769.3;CA;PALMDALE;AP;72382;;;;;;
USW00023187;34.7436;-118.7242;1374.6;CA;SANDBERG;72383;;;;;;;
USW00023188;32.7336;-117.1831;4.6;CA;SAN;DIEGO;LINDBERGH;FLD;GSN;72290;;;
USW00023190;34.4258;-119.8425;2.7;CA;SANTA;BARBARA;MUNI;AP;72392;;;;
USW00023213;38.5039;-122.8103;34.7;CA;SANTA;ROSA;SONOMA;CO;AP;;;;
USW00023225;39.2775;-120.7103;1608.1;CA;BLUE;CANYON;AP;;;;;;
USW00023230;37.7214;-122.2208;1.8;CA;OAKLAND;METRO;INTL;AP;72493;;;;
USW00023232;38.5069;-121.495;4.6;CA;SACRAMENTO;EXECUTIVE;AP;GSN;72483;;;;
USW00023233;36.6636;-121.6081;22.6;CA;SALINAS;MUNICIPAL;AP;72593;;;;;
USW00023234;37.6197;-122.3647;2.4;CA;SAN;FRANCISCO;INTL;AP;72494;;;;
USW00023237;37.8892;-121.2258;7.9;CA;STOCKTON;METRO;AP;72492;;;;;
USW00023239;37.7333;-122.3167;4.9;CA;ALAMEDA;NAS;74506;;;;;;
USW00023244;37.4058;-122.0481;11.9;CA;MOFFETT;FEDERAL;AIRFIELD;74509;;;;;
USW00023254;37.9917;-122.055;5.5;CA;CONCORD;BUCHANAN;FLD;72495;;;;;
USW00023257;37.2847;-120.5128;46.3;CA;MERCED;MUNI;AP;;;;;;
USW00023258;37.6242;-120.9506;22.3;CA;MODESTO;CITY;CO;AP;;;;;
USW00023259;36.5881;-121.8453;50.3;CA;MONTEREY;PENINSUL;AP;;;;;;
USW00023271;38.5556;-121.4169;11.6;CA;SACRAMENTO;5;ESE;;;;;;
USW00023272;37.7706;-122.4269;45.7;CA;SAN;FRANCISCO;DWTN;;;;;;
USW00023273;34.8994;-120.4486;73.8;CA;SANTA;MARIA;PUBLIC;AP;72394;;;;
