STNID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE11;VALUE12;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12
USC00283029;194S;215S;284S;380S;474S;571S;623S;608S;528S;410C;330S;247S;19.4;21.5;28.4;38;47.4;57.1;62.3;60.8;52.8;41;33;24.7
USC00283181;224R;244R;312R;417R;504R;602R;659R;638R;560R;437R;365R;275R;22.4;24.4;31.2;41.7;50.4;60.2;65.9;63.8;56;43.7;36.5;27.5
USC00283291;219R;238R;308R;397R;492R;594R;645R;630R;556R;433R;350R;265R;21.9;23.8;30.8;39.7;49.2;59.4;64.5;63;55.6;43.3;35;26.5
USC00283662;230R;243R;314R;412R;509R;611R;660R;641R;553R;438R;357R;268R;23;24.3;31.4;41.2;50.9;61.1;66;64.1;55.3;43.8;35.7;26.8
USC00283704;231Q;253Q;332Q;431Q;530Q;630Q;679Q;674Q;590Q;473Q;381Q;290Q;23.1;25.3;33.2;43.1;53;63;67.9;67.4;59;47.3;38.1;29
USC00283935;148R;169R;244R;357R;463R;554R;600R;587R;512R;406R;303R;211R;14.8;16.9;24.4;35.7;46.3;55.4;60;58.7;51.2;40.6;30.3;21.1
USC00283951;222S;241S;311S;402S;491S;588C;637C;619C;543S;428S;352S;269S;22.2;24.1;31.1;40.2;49.1;58.8;63.7;61.9;54.3;42.8;35.2;26.9
USC00284229;224S;239S;307S;398S;489C;585C;634C;618C;543C;429C;346C;266S;22.4;23.9;30.7;39.8;48.9;58.5;63.4;61.8;54.3;42.9;34.6;26.6
USC00284635;179R;201R;269R;364R;461R;556R;606R;588R;515R;397R;313R;231R;17.9;20.1;26.9;36.4;46.1;55.6;60.6;58.8;51.5;39.7;31.3;23.1
USC00284887;195R;216R;297R;398R;497R;596R;647R;632R;548R;420R;342R;253R;19.5;21.6;29.7;39.8;49.7;59.6;64.7;63.2;54.8;42;34.2;25.3
USC00284987;239R;262R;327R;413R;505R;607R;661R;652R;580R;464R;383R;292R;23.9;26.2;32.7;41.3;50.5;60.7;66.1;65.2;58;46.4;38.3;29.2
USC00285003;178R;196R;265R;362R;457R;552R;603R;593R;510R;388R;314R;230R;17.8;19.6;26.5;36.2;45.7;55.2;60.3;59.3;51;38.8;31.4;23
USC00285728;229S;246S;314S;402S;490S;591S;639S;620S;547S;436S;353S;271S;22.9;24.6;31.4;40.2;49;59.1;63.9;62;54.7;43.6;35.3;27.1
USC00286055;218S;236C;305C;402C;497C;600C;649C;635C;551C;429C;355C;271C;21.8;23.6;30.5;40.2;49.7;60;64.9;63.5;55.1;42.9;35.5;27.1
USC00286177;167R;190R;272R;373R;471R;563R;611R;592R;512R;391R;314R;230R;16.7;19;27.2;37.3;47.1;56.3;61.1;59.2;51.2;39.1;31.4;23
USC00286843;230R;244R;310R;399R;487R;586R;634R;622R;550R;432R;355R;277R;23;24.4;31;39.9;48.7;58.6;63.4;62.2;55;43.2;35.5;27.7
USC00286979;191Q;200Q;275Q;387Q;482Q;588Q;637Q;609Q;533Q;404Q;334Q;244Q;19.1;20;27.5;38.7;48.2;58.8;63.7;60.9;53.3;40.4;33.4;24.4
USC00287079;230R;252R;318R;410R;503R;600R;653R;637R;561R;445R;363R;278R;23;25.2;31.8;41;50.3;60;65.3;63.7;56.1;44.5;36.3;27.8
USC00287865;266R;273R;338R;424R;520R;620R;676R;677R;609R;496R;414R;320R;26.6;27.3;33.8;42.4;52;62;67.6;67.7;60.9;49.6;41.4;32
USC00287936;255R;276R;343R;433R;528R;627R;679S;661S;587S;470S;390S;298S;25.5;27.6;34.3;43.3;52.8;62.7;67.9;66.1;58.7;47;39;29.8
USC00288194;181R;198R;268R;362R;461R;559R;610R;597R;518R;396R;314R;231R;18.1;19.8;26.8;36.2;46.1;55.9;61;59.7;51.8;39.6;31.4;23.1
USC00288644;158S;179S;257S;361S;454S;551S;600S;580S;501S;384S;310S;216S;15.8;17.9;25.7;36.1;45.4;55.1;60;58;50.1;38.4;31;21.6
USC00288648;170R;190R;267R;381R;475R;569R;610R;598R;520R;407R;327R;227R;17;19;26.7;38.1;47.5;56.9;61;59.8;52;40.7;32.7;22.7
USC00288816;221S;239S;301S;393S;489S;585S;639S;622S;545R;428S;346S;265S;22.1;23.9;30.1;39.3;48.9;58.5;63.9;62.2;54.5;42.8;34.6;26.5
