STNID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE11;VALUE12;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12
USC00460633;185R;201R;268R;352R;449R;545R;585R;576R;496R;380R;303R;229R;18.5;20.1;26.8;35.2;44.9;54.5;58.5;57.6;49.6;38;30.3;22.9
USC00460925;207R;232R;288R;373R;473R;552R;591R;580R;520R;398R;308R;238R;20.7;23.2;28.8;37.3;47.3;55.2;59.1;58;52;39.8;30.8;23.8
USC00460939;240S;266S;326R;412R;501R;600R;639R;632R;564R;445R;348R;274R;24;26.6;32.6;41.2;50.1;60;63.9;63.2;56.4;44.5;34.8;27.4
USC00461215;175S;200S;264S;350S;442S;541S;585S;578S;504S;379S;285S;209S;17.5;20;26.4;35;44.2;54.1;58.5;57.8;50.4;37.9;28.5;20.9
USC00461220;194S;211S;276S;363S;463S;558S;603S;584S;508S;390S;306S;236S;19.4;21.1;27.6;36.3;46.3;55.8;60.3;58.4;50.8;39;30.6;23.6
USC00461290;178Q;208Q;248Q;351Q;449Q;540Q;591Q;566Q;493Q;371Q;288Q;217Q;17.8;20.8;24.8;35.1;44.9;54;59.1;56.6;49.3;37.1;28.8;21.7
USC00461324;209R;231S;299S;396S;490S;580S;623S;606S;525S;413S;333S;242S;20.9;23.1;29.9;39.6;49;58;62.3;60.6;52.5;41.3;33.3;24.2
USC00461330;203R;220R;284R;377R;471R;562R;610R;596R;516R;397R;314R;233R;20.3;22;28.4;37.7;47.1;56.2;61;59.6;51.6;39.7;31.4;23.3
USC00461393;173R;195R;252R;349R;424R;508R;549R;525R;457R;371R;290R;207R;17.3;19.5;25.2;34.9;42.4;50.8;54.9;52.5;45.7;37.1;29;20.7
USC00461397;151R;162R;224R;329R;416R;499R;537R;515R;444R;337R;266R;179R;15.1;16.2;22.4;32.9;41.6;49.9;53.7;51.5;44.4;33.7;26.6;17.9
USC00461579;228R;249R;306R;400R;504R;590R;634R;618R;532R;412R;328R;259R;22.8;24.9;30.6;40;50.4;59;63.4;61.8;53.2;41.2;32.8;25.9
USC00461677;212S;230S;292S;386S;481S;577S;623S;613S;534S;410S;326S;252S;21.2;23;29.2;38.6;48.1;57.7;62.3;61.3;53.4;41;32.6;25.2
USC00461723;226R;248R;308R;397R;493R;590R;638R;627R;547R;428R;332R;258R;22.6;24.8;30.8;39.7;49.3;59;63.8;62.7;54.7;42.8;33.2;25.8
USC00461900;177Q;190Q;260Q;359Q;475Q;544Q;588Q;568Q;496Q;396Q;311Q;207Q;17.7;19;26;35.9;47.5;54.4;58.8;56.8;49.6;39.6;31.1;20.7
USC00462054;195R;216R;275R;366R;469R;563R;609R;602R;520R;397R;301R;233R;19.5;21.6;27.5;36.6;46.9;56.3;60.9;60.2;52;39.7;30.1;23.3
USC00462211;143Q;164Q;246Q;343Q;457Q;533Q;573Q;560Q;494Q;380Q;294Q;197Q;14.3;16.4;24.6;34.3;45.7;53.3;57.3;56;49.4;38;29.4;19.7
USC00462462;215Q;243Q;288Q;379Q;482Q;575Q;617Q;606Q;530Q;406Q;315Q;257Q;21.5;24.3;28.8;37.9;48.2;57.5;61.7;60.6;53;40.6;31.5;25.7
USC00462522;250S;280S;344S;442S;521S;606R;646S;630S;554S;443S;368S;279S;25;28;34.4;44.2;52.1;60.6;64.6;63;55.4;44.3;36.8;27.9
USC00462697;203Q;220Q;289Q;383Q;489Q;583Q;631Q;618Q;535Q;404Q;317Q;247Q;20.3;22;28.9;38.3;48.9;58.3;63.1;61.8;53.5;40.4;31.7;24.7
USC00462709;242R;274R;355R;428R;505R;586R;617R;609R;545R;443R;355R;273R;24.2;27.4;35.5;42.8;50.5;58.6;61.7;60.9;54.5;44.3;35.5;27.3
USC00462920;230S;245S;316S;414S;506S;593S;632S;621S;546S;434S;355S;268S;23;24.5;31.6;41.4;50.6;59.3;63.2;62.1;54.6;43.4;35.5;26.8
USC00463072;211R;241R;305R;405R;505R;585R;619R;604R;537R;433R;340R;241R;21.1;24.1;30.5;40.5;50.5;58.5;61.9;60.4;53.7;43.3;34;24.1
USC00463215;206S;225S;292S;376S;470S;552R;589R;578R;508R;398R;314R;240R;20.6;22.5;29.2;37.6;47;55.2;58.9;57.8;50.8;39.8;31.4;24
USC00463251;149Q;165Q;238Q;323Q;422Q;502Q;546Q;538Q;476Q;362Q;281Q;185Q;14.9;16.5;23.8;32.3;42.2;50.2;54.6;53.8;47.6;36.2;28.1;18.5
USC00463361;214S;237S;302S;404S;501S;595S;638S;626S;552S;423S;329S;254S;21.4;23.7;30.2;40.4;50.1;59.5;63.8;62.6;55.2;42.3;32.9;25.4
USC00463464;145R;160R;227R;320R;412R;496R;538R;532R;451R;340R;257R;183R;14.5;16;22.7;32;41.2;49.6;53.8;53.2;45.1;34;25.7;18.3
USC00463544;222S;239C;301S;390S;486C;585C;632S;620C;537S;417C;328C;256S;22.2;23.9;30.1;39;48.6;58.5;63.2;62;53.7;41.7;32.8;25.6
USC00463648;201Q;221Q;282Q;372Q;484Q;581Q;629Q;612Q;533Q;408Q;309Q;239Q;20.1;22.1;28.2;37.2;48.4;58.1;62.9;61.2;53.3;40.8;30.9;23.9
USC00463798;201R;221R;279R;370R;463R;550R;590R;578R;507R;393R;312R;239R;20.1;22.1;27.9;37;46.3;55;59;57.8;50.7;39.3;31.2;23.9
USC00463846;216R;235S;302R;385R;487R;582R;630R;614R;534R;405R;318R;252R;21.6;23.5;30.2;38.5;48.7;58.2;63;61.4;53.4;40.5;31.8;25.2
USC00463940;192Q;207Q;274Q;374Q;486Q;578Q;622Q;600Q;521Q;388Q;307Q;235Q;19.2;20.7;27.4;37.4;48.6;57.8;62.2;60;52.1;38.8;30.7;23.5
USC00464200;232S;255S;318S;416S;505C;603C;644C;634C;559S;442S;349S;269S;23.2;25.5;31.8;41.6;50.5;60.3;64.4;63.4;55.9;44.2;34.9;26.9
USC00464397;247S;267S;334S;427S;525S;621R;662R;647S;566S;445R;360R;286R;24.7;26.7;33.4;42.7;52.5;62.1;66.2;64.7;56.6;44.5;36;28.6
USC00464763;209R;231R;297R;386R;477R;566R;612R;595R;519R;392R;321R;247R;20.9;23.1;29.7;38.6;47.7;56.6;61.2;59.5;51.9;39.2;32.1;24.7
USC00464840;208R;227R;288R;379R;474R;563R;612R;592R;521R;398R;319R;242R;20.8;22.7;28.8;37.9;47.4;56.3;61.2;59.2;52.1;39.8;31.9;24.2
USC00464956;215R;234R;305R;376R;466R;552R;602R;582R;516R;408R;320R;246R;21.5;23.4;30.5;37.6;46.6;55.2;60.2;58.2;51.6;40.8;32;24.6
USC00464971;136Q;163Q;225Q;322Q;434Q;509Q;553Q;536Q;470Q;362Q;278Q;192Q;13.6;16.3;22.5;32.2;43.4;50.9;55.3;53.6;47;36.2;27.8;19.2
USC00465224;185S;208S;268R;364S;458S;548S;587S;573S;494S;378S;288S;217S;18.5;20.8;26.8;36.4;45.8;54.8;58.7;57.3;49.4;37.8;28.8;21.7
USC00465353;254S;278S;342S;429S;524R;618S;661S;652S;576S;454S;361S;286S;25.4;27.8;34.2;42.9;52.4;61.8;66.1;65.2;57.6;45.4;36.1;28.6
USC00465365;254C;275S;338S;426S;518S;615S;659C;653C;583C;464S;368S;291C;25.4;27.5;33.8;42.6;51.8;61.5;65.9;65.3;58.3;46.4;36.8;29.1
USC00465453;179Q;194Q;269Q;363Q;458Q;549Q;585Q;569Q;493Q;388Q;307Q;224Q;17.9;19.4;26.9;36.3;45.8;54.9;58.5;56.9;49.3;38.8;30.7;22.4
USC00465563;237S;266C;328C;419S;518S;614S;655S;645S;565S;435C;342C;271C;23.7;26.6;32.8;41.9;51.8;61.4;65.5;64.5;56.5;43.5;34.2;27.1
USC00465626;179S;198S;263S;351S;451S;544S;592S;575S;496S;375S;296S;226S;17.9;19.8;26.3;35.1;45.1;54.4;59.2;57.5;49.6;37.5;29.6;22.6
USC00465672;134R;153R;219R;299R;407R;498R;536R;533R;459R;341R;237R;168R;13.4;15.3;21.9;29.9;40.7;49.8;53.6;53.3;45.9;34.1;23.7;16.8
USC00465706;211Q;227Q;295Q;387Q;492Q;586Q;629Q;614Q;530Q;415Q;329Q;242Q;21.1;22.7;29.5;38.7;49.2;58.6;62.9;61.4;53;41.5;32.9;24.2
USC00465739;182R;205R;273R;354R;449R;534R;579R;565R;488R;379R;296R;222R;18.2;20.5;27.3;35.4;44.9;53.4;57.9;56.5;48.8;37.9;29.6;22.2
USC00465875;171R;200R;278R;369R;458R;537R;569R;567R;499R;402R;308R;213R;17.1;20;27.8;36.9;45.8;53.7;56.9;56.7;49.9;40.2;30.8;21.3
USC00465963;187S;206S;272S;365S;467S;562S;611S;595S;516C;391C;305C;229S;18.7;20.6;27.2;36.5;46.7;56.2;61.1;59.5;51.6;39.1;30.5;22.9
USC00466163;199C;216C;289C;378C;482S;574C;610C;599S;519S;401C;308C;232C;19.9;21.6;28.9;37.8;48.2;57.4;61;59.9;51.9;40.1;30.8;23.2
USC00466212;213S;226S;293S;393S;494S;587S;632S;615S;545S;432S;335S;254S;21.3;22.6;29.3;39.3;49.4;58.7;63.2;61.5;54.5;43.2;33.5;25.4
USC00466248;215R;231R;302R;396R;494S;587S;630S;621S;539R;424S;337S;258S;21.5;23.1;30.2;39.6;49.4;58.7;63;62.1;53.9;42.4;33.7;25.8
USC00466284;198Q;220Q;281Q;373Q;475Q;566Q;599Q;582Q;507Q;387Q;307Q;229Q;19.8;22;28.1;37.3;47.5;56.6;59.9;58.2;50.7;38.7;30.7;22.9
USC00466325;209R;234R;297R;376R;479R;569R;614R;604R;527R;404R;310R;247R;20.9;23.4;29.7;37.6;47.9;56.9;61.4;60.4;52.7;40.4;31;24.7
USC00466442;205R;212R;278R;382R;479R;577R;617R;607R;540R;419R;341R;250R;20.5;21.2;27.8;38.2;47.9;57.7;61.7;60.7;54;41.9;34.1;25
USC00466591;223S;249S;313S;406C;485C;571S;608S;599S;529S;419S;341S;256S;22.3;24.9;31.3;40.6;48.5;57.1;60.8;59.9;52.9;41.9;34.1;25.6
USC00466600;223R;247R;305R;391R;491R;578R;625R;622R;534R;416R;319R;248R;22.3;24.7;30.5;39.1;49.1;57.8;62.5;62.2;53.4;41.6;31.9;24.8
USC00466867;182C;201C;269C;360C;462C;552S;598S;587S;511S;389C;301S;223C;18.2;20.1;26.9;36;46.2;55.2;59.8;58.7;51.1;38.9;30.1;22.3
USC00466912;224Q;239Q;294Q;394Q;501Q;597Q;635Q;618Q;536Q;411Q;323Q;253Q;22.4;23.9;29.4;39.4;50.1;59.7;63.5;61.8;53.6;41.1;32.3;25.3
USC00466952;217R;231R;298R;383R;472R;557R;606R;591R;516R;396R;319R;240R;21.7;23.1;29.8;38.3;47.2;55.7;60.6;59.1;51.6;39.6;31.9;24
USC00466982;200Q;213Q;279Q;377Q;477Q;574Q;618Q;598Q;526Q;407Q;320Q;243Q;20;21.3;27.9;37.7;47.7;57.4;61.8;59.8;52.6;40.7;32;24.3
USC00466989;195R;221R;283R;391R;483R;561R;603R;583R;528R;413R;336R;241R;19.5;22.1;28.3;39.1;48.3;56.1;60.3;58.3;52.8;41.3;33.6;24.1
USC00467018;222R;238S;298S;396S;498S;595S;642S;632S;562S;445S;354S;266S;22.2;23.8;29.8;39.6;49.8;59.5;64.2;63.2;56.2;44.5;35.4;26.6
USC00467029;230C;254C;312C;398C;497C;594C;639C;630S;553C;428C;333C;261C;23;25.4;31.2;39.8;49.7;59.4;63.9;63;55.3;42.8;33.3;26.1
USC00467372;212Q;232Q;294Q;394Q;493Q;581Q;622Q;619Q;542Q;409Q;315Q;246Q;21.2;23.2;29.4;39.4;49.3;58.1;62.2;61.9;54.2;40.9;31.5;24.6
USC00467513;198R;214R;287R;381R;473R;549R;591R;582R;516R;418R;332R;236R;19.8;21.4;28.7;38.1;47.3;54.9;59.1;58.2;51.6;41.8;33.2;23.6
USC00467552;229C;251S;318S;411C;508C;602S;645S;629C;550S;429C;344C;271C;22.9;25.1;31.8;41.1;50.8;60.2;64.5;62.9;55;42.9;34.4;27.1
USC00467649;214R;240R;306R;403R;494R;578R;622R;605R;529R;415R;344R;252R;21.4;24;30.6;40.3;49.4;57.8;62.2;60.5;52.9;41.5;34.4;25.2
USC00467730;197S;216S;286S;378S;473S;567S;609S;594S;514S;396S;311S;234S;19.7;21.6;28.6;37.8;47.3;56.7;60.9;59.4;51.4;39.6;31.1;23.4
USC00467785;197S;214S;277S;368S;469S;561S;609S;600S;528S;407S;316S;239S;19.7;21.4;27.7;36.8;46.9;56.1;60.9;60;52.8;40.7;31.6;23.9
USC00467918;190R;211R;273R;364R;464R;548R;600R;586R;508R;383R;302R;232R;19;21.1;27.3;36.4;46.4;54.8;60;58.6;50.8;38.3;30.2;23.2
USC00468051;164R;186R;246R;331R;434R;521R;572R;555R;481R;364R;278R;204R;16.4;18.6;24.6;33.1;43.4;52.1;57.2;55.5;48.1;36.4;27.8;20.4
USC00468308;136S;158S;225S;322S;423S;509S;548S;543S;479S;371S;275S;180S;13.6;15.8;22.5;32.2;42.3;50.9;54.8;54.3;47.9;37.1;27.5;18
USC00468351;197R;217R;278R;374R;475R;564R;609R;597R;518R;400R;306R;233R;19.7;21.7;27.8;37.4;47.5;56.4;60.9;59.7;51.8;40;30.6;23.3
USC00468384;214S;226S;296S;382S;478S;575S;617S;600S;524S;403S;324S;253S;21.4;22.6;29.6;38.2;47.8;57.5;61.7;60;52.4;40.3;32.4;25.3
USC00468522;198Q;214Q;277Q;371Q;487Q;581Q;624Q;606Q;524Q;402Q;312Q;236Q;19.8;21.4;27.7;37.1;48.7;58.1;62.4;60.6;52.4;40.2;31.2;23.6
USC00468589;186Q;200Q;268Q;345Q;444Q;531Q;574Q;561Q;487Q;383Q;290Q;226Q;18.6;20;26.8;34.5;44.4;53.1;57.4;56.1;48.7;38.3;29;22.6
USC00468614;204R;224R;290R;376R;473R;560R;601S;588S;520S;412R;325R;245R;20.4;22.4;29;37.6;47.3;56;60.1;58.8;52;41.2;32.5;24.5
USC00468662;221R;240R;302R;390R;486R;582R;625R;614R;542R;422R;328R;256R;22.1;24;30.2;39;48.6;58.2;62.5;61.4;54.2;42.2;32.8;25.6
USC00468777;196C;216S;286C;386C;477C;560S;601S;589S;523S;418S;331S;235S;19.6;21.6;28.6;38.6;47.7;56;60.1;58.9;52.3;41.8;33.1;23.5
USC00468986;205R;222R;291R;387R;475R;573R;609R;592R;527R;409R;321R;245R;20.5;22.2;29.1;38.7;47.5;57.3;60.9;59.2;52.7;40.9;32.1;24.5
USC00469011;213S;234S;293S;380S;469S;564R;602R;587R;508R;392R;310R;239R;21.3;23.4;29.3;38;46.9;56.4;60.2;58.7;50.8;39.2;31;23.9
USC00469049;193Q;212Q;279Q;374Q;446Q;534Q;579Q;581Q;489Q;381Q;306Q;226Q;19.3;21.2;27.9;37.4;44.6;53.4;57.9;58.1;48.9;38.1;30.6;22.6
USC00469281;195S;214S;279S;370S;463S;557S;597S;585S;503S;386S;307S;227S;19.5;21.4;27.9;37;46.3;55.7;59.7;58.5;50.3;38.6;30.7;22.7
USC00469333;226R;246R;313R;398R;493R;579R;619R;609R;536R;423R;334R;257R;22.6;24.6;31.3;39.8;49.3;57.9;61.9;60.9;53.6;42.3;33.4;25.7
USC00469336;222R;245R;308R;392R;484R;572R;609R;601R;532R;415R;333R;260R;22.2;24.5;30.8;39.2;48.4;57.2;60.9;60.1;53.2;41.5;33.3;26
USC00469436;220R;239R;301R;389R;481R;576R;621S;611S;532R;417R;330S;258R;22;23.9;30.1;38.9;48.1;57.6;62.1;61.1;53.2;41.7;33;25.8
USC00469458;199S;221S;285R;376R;472R;569R;613R;601R;525R;399R;311S;239S;19.9;22.1;28.5;37.6;47.2;56.9;61.3;60.1;52.5;39.9;31.1;23.9
USC00469482;219R;235R;299R;395R;493R;593R;641R;629R;559R;435R;349R;259R;21.9;23.5;29.9;39.5;49.3;59.3;64.1;62.9;55.9;43.5;34.9;25.9
USC00469522;198C;219C;277S;361C;454C;547C;591C;582C;505C;384C;296C;226C;19.8;21.9;27.7;36.1;45.4;54.7;59.1;58.2;50.5;38.4;29.6;22.6
USC00469610;254R;281R;346R;430R;530R;620R;654R;654R;585R;455R;354R;286R;25.4;28.1;34.6;43;53;62;65.4;65.4;58.5;45.5;35.4;28.6
USC00469683;245C;266C;328S;416S;508S;606S;651S;643C;568C;450S;360S;282S;24.5;26.6;32.8;41.6;50.8;60.6;65.1;64.3;56.8;45;36;28.2
USC00470045;112R;149R;257R;366R;475R;571R;613R;594R;500R;385R;286R;155R;11.2;14.9;25.7;36.6;47.5;57.1;61.3;59.4;50;38.5;28.6;15.5
USC00470124;101C;148C;260C;387C;499C;592S;639S;623C;540S;419C;289C;150C;10.1;14.8;26;38.7;49.9;59.2;63.9;62.3;54;41.9;28.9;15
USC00470175;32S;82C;207S;341S;458S;551C;600C;580S;490S;362S;238S;92C;3.2;8.2;20.7;34.1;45.8;55.1;60;58;49;36.2;23.8;9.2
USC00470239;17S;49S;166S;307R;413R;510R;555R;539R;453R;341R;228S;76S;1.7;4.9;16.6;30.7;41.3;51;55.5;53.9;45.3;34.1;22.8;7.6
USC00470265;100S;126S;227S;359S;473S;577S;625S;607S;513S;396S;278S;151S;10;12.6;22.7;35.9;47.3;57.7;62.5;60.7;51.3;39.6;27.8;15.1
USC00470273;96S;132S;239S;354S;459S;555S;601S;583S;489S;374S;275S;145S;9.6;13.2;23.9;35.4;45.9;55.5;60.1;58.3;48.9;37.4;27.5;14.5
USC00470287;82Q;111Q;233Q;349Q;448Q;551Q;591Q;580Q;479Q;366Q;266Q;140Q;8.2;11.1;23.3;34.9;44.8;55.1;59.1;58;47.9;36.6;26.6;14
USC00470308;57R;103R;205R;322R;430S;528S;572R;551R;465R;354R;238R;110R;5.7;10.3;20.5;32.2;43;52.8;57.2;55.1;46.5;35.4;23.8;11
USC00470347;22Q;67Q;175Q;295Q;403Q;501Q;557Q;553Q;464Q;346Q;226Q;100Q;2.2;6.7;17.5;29.5;40.3;50.1;55.7;55.3;46.4;34.6;22.6;10
USC00470349;12R;45R;161R;280R;378R;490R;550R;540R;457R;336R;228R;79R;1.2;4.5;16.1;28;37.8;49;55;54;45.7;33.6;22.8;7.9
USC00470382;37Q;78Q;194Q;335Q;449Q;549Q;591Q;574Q;478Q;355Q;233Q;87Q;3.7;7.8;19.4;33.5;44.9;54.9;59.1;57.4;47.8;35.5;23.3;8.7
USC00470516;79S;117S;222S;335S;450S;546S;588S;564S;477S;362S;258R;131S;7.9;11.7;22.2;33.5;45;54.6;58.8;56.4;47.7;36.2;25.8;13.1
USC00470603;61R;95R;198R;312R;405R;496R;562R;562R;489R;378R;258R;123R;6.1;9.5;19.8;31.2;40.5;49.6;56.2;56.2;48.9;37.8;25.8;12.3
USC00470645;93C;125C;235C;355C;461C;560C;603C;589S;500C;383S;270C;143C;9.3;12.5;23.5;35.5;46.1;56;60.3;58.9;50;38.3;27;14.3
USC00470696;126C;165C;261C;374C;478C;578C;622C;605C;518S;404C;299S;173C;12.6;16.5;26.1;37.4;47.8;57.8;62.2;60.5;51.8;40.4;29.9;17.3
USC00470742;64Q;105Q;217Q;339Q;455Q;554Q;600Q;573Q;483Q;365Q;250Q;122Q;6.4;10.5;21.7;33.9;45.5;55.4;60;57.3;48.3;36.5;25;12.2
USC00470773;4R;45S;174R;320R;437R;529R;572R;556R;461R;351R;244R;78R;0.4;4.5;17.4;32;43.7;52.9;57.2;55.6;46.1;35.1;24.4;7.8
USC00470882;36S;81S;207S;329S;441S;539S;584S;561S;468S;344S;236S;89S;3.6;8.1;20.7;32.9;44.1;53.9;58.4;56.1;46.8;34.4;23.6;8.9
USC00470904;31S;74S;202S;339S;452S;549S;594S;574S;480S;358S;238S;89S;3.1;7.4;20.2;33.9;45.2;54.9;59.4;57.4;48;35.8;23.8;8.9
USC00470991;10R;54R;175R;307R;414R;507R;555R;538R;453R;326R;218R;91R;1;5.4;17.5;30.7;41.4;50.7;55.5;53.8;45.3;32.6;21.8;9.1
USC00471044;53R;77R;193R;319R;428R;522R;566R;549R;466R;350R;249R;114R;5.3;7.7;19.3;31.9;42.8;52.2;56.6;54.9;46.6;35;24.9;11.4
USC00471062;122Q;144Q;241Q;361Q;466Q;568Q;619Q;604Q;508Q;389Q;279Q;161Q;12.2;14.4;24.1;36.1;46.6;56.8;61.9;60.4;50.8;38.9;27.9;16.1
USC00471064;85R;116R;221R;331R;438R;548R;582R;563R;476R;372R;261R;138R;8.5;11.6;22.1;33.1;43.8;54.8;58.2;56.3;47.6;37.2;26.1;13.8
USC00471078;97S;139S;247S;359S;468S;569S;611S;589S;491S;378S;276S;147S;9.7;13.9;24.7;35.9;46.8;56.9;61.1;58.9;49.1;37.8;27.6;14.7
USC00471131;-9R;39R;162R;287R;393R;489R;541R;529R;442R;336R;217R;68R;-0.9;3.9;16.2;28.7;39.3;48.9;54.1;52.9;44.2;33.6;21.7;6.8
USC00471205;105S;135S;232R;347S;445S;550S;598S;583S;489S;377S;274S;155S;10.5;13.5;23.2;34.7;44.5;55;59.8;58.3;48.9;37.7;27.4;15.5
USC00471249;8R;27R;121R;274R;387R;477R;517R;499R;428R;323R;198R;55R;0.8;2.7;12.1;27.4;38.7;47.7;51.7;49.9;42.8;32.3;19.8;5.5
USC00471280;95R;148R;249R;371R;481R;578R;622R;605R;523R;403R;276R;142R;9.5;14.8;24.9;37.1;48.1;57.8;62.2;60.5;52.3;40.3;27.6;14.2
USC00471416;107S;148S;256S;377S;488S;585S;631S;612S;523S;400S;283S;155S;10.7;14.8;25.6;37.7;48.8;58.5;63.1;61.2;52.3;40;28.3;15.5
USC00471568;94C;126S;226C;344C;449C;554C;598C;585C;499C;386C;276C;152C;9.4;12.6;22.6;34.4;44.9;55.4;59.8;58.5;49.9;38.6;27.6;15.2
USC00471605;114Q;156Q;238Q;353Q;440Q;545Q;600Q;591Q;523Q;407Q;289Q;166Q;11.4;15.6;23.8;35.3;44;54.5;60;59.1;52.3;40.7;28.9;16.6
USC00471667;97Q;143Q;249Q;369Q;473Q;578Q;612Q;591Q;500Q;382Q;278Q;150Q;9.7;14.3;24.9;36.9;47.3;57.8;61.2;59.1;50;38.2;27.8;15
USC00471676;63S;96C;195C;326C;437C;538S;585C;561C;467S;351S;245C;121S;6.3;9.6;19.5;32.6;43.7;53.8;58.5;56.1;46.7;35.1;24.5;12.1
USC00471840;85Q;119Q;239Q;355Q;466Q;559Q;603Q;586Q;493Q;378Q;265Q;142Q;8.5;11.9;23.9;35.5;46.6;55.9;60.3;58.6;49.3;37.8;26.5;14.2
USC00471847;0S;37S;165S;286S;381S;489S;555S;531S;429S;322S;204S;65S;0;3.7;16.5;28.6;38.1;48.9;55.5;53.1;42.9;32.2;20.4;6.5
USC00471897;16S;47S;153S;273S;383S;488S;530S;521R;428R;319R;207S;81S;1.6;4.7;15.3;27.3;38.3;48.8;53;52.1;42.8;31.9;20.7;8.1
USC00471923;4S;41S;167S;322S;445S;553S;601S;579S;476S;353S;220S;70S;0.4;4.1;16.7;32.2;44.5;55.3;60.1;57.9;47.6;35.3;22;7
USC00471970;84R;118R;218R;342R;454R;557R;600R;582R;487R;375R;258R;133R;8.4;11.8;21.8;34.2;45.4;55.7;60;58.2;48.7;37.5;25.8;13.3
USC00471978;10C;63S;191S;316C;428C;523C;576S;559C;472S;354C;232C;77C;1;6.3;19.1;31.6;42.8;52.3;57.6;55.9;47.2;35.4;23.2;7.7
USC00472001;89R;127R;242R;361R;465R;573R;613R;595R;492R;379R;261R;137R;8.9;12.7;24.2;36.1;46.5;57.3;61.3;59.5;49.2;37.9;26.1;13.7
USC00472055;86Q;121Q;217Q;340Q;443Q;537Q;591Q;573Q;491Q;384Q;273Q;144Q;8.6;12.1;21.7;34;44.3;53.7;59.1;57.3;49.1;38.4;27.3;14.4
USC00472165;80R;129R;239R;358R;462R;560R;597R;586R;492R;372R;263R;126R;8;12.9;23.9;35.8;46.2;56;59.7;58.6;49.2;37.2;26.3;12.6
USC00472173;86R;124S;232S;344S;449S;548S;594S;579S;488S;369S;262S;130S;8.6;12.4;23.2;34.4;44.9;54.8;59.4;57.9;48.8;36.9;26.2;13
USC00472240;3R;47R;168R;290R;406R;504R;561R;553R;470R;350R;224R;71R;0.3;4.7;16.8;29;40.6;50.4;56.1;55.3;47;35;22.4;7.1
USC00472279;43Q;84Q;203Q;342Q;460Q;565Q;612Q;588Q;492Q;378Q;251Q;98Q;4.3;8.4;20.3;34.2;46;56.5;61.2;58.8;49.2;37.8;25.1;9.8
USC00472314;39R;58R;154R;291R;415R;520R;563R;551R;466R;348R;233R;103R;3.9;5.8;15.4;29.1;41.5;52;56.3;55.1;46.6;34.8;23.3;10.3
USC00472556;56S;101S;220S;343R;457R;554S;596R;576R;490R;370S;246S;106S;5.6;10.1;22;34.3;45.7;55.4;59.6;57.6;49;37;24.6;10.6
USC00472626;117Q;127Q;231Q;334Q;433Q;525Q;588Q;578Q;518Q;406Q;307Q;194Q;11.7;12.7;23.1;33.4;43.3;52.5;58.8;57.8;51.8;40.6;30.7;19.4
USC00472826;29R;45R;141R;275R;398R;490R;541R;523R;437R;331R;230R;99R;2.9;4.5;14.1;27.5;39.8;49;54.1;52.3;43.7;33.1;23;9.9
USC00472839;99C;134C;232C;358C;462C;563S;610C;597C;513C;395C;278S;147S;9.9;13.4;23.2;35.8;46.2;56.3;61;59.7;51.3;39.5;27.8;14.7
USC00472851;102Q;125Q;225Q;343Q;438Q;537Q;592Q;593Q;515Q;400Q;291Q;159Q;10.2;12.5;22.5;34.3;43.8;53.7;59.2;59.3;51.5;40;29.1;15.9
USC00472869;105C;145C;251C;369C;471C;572C;614S;592S;502S;388C;286C;158C;10.5;14.5;25.1;36.9;47.1;57.2;61.4;59.2;50.2;38.8;28.6;15.8
USC00472889;-1S;48S;166S;281S;371S;464R;536S;531S;450S;335S;211S;62S;-0.1;4.8;16.6;28.1;37.1;46.4;53.6;53.1;45;33.5;21.1;6.2
USC00472973;49Q;82Q;203Q;328Q;444Q;543Q;584Q;567Q;470Q;360Q;241Q;103Q;4.9;8.2;20.3;32.8;44.4;54.3;58.4;56.7;47;36;24.1;10.3
USC00473022;50R;98R;219R;328R;436R;537R;587R;572R;473R;348R;245R;108R;5;9.8;21.9;32.8;43.6;53.7;58.7;57.2;47.3;34.8;24.5;10.8
USC00473038;104C;150C;262C;388C;496S;594C;638C;623S;536C;417C;290C;156C;10.4;15;26.2;38.8;49.6;59.4;63.8;62.3;53.6;41.7;29;15.6
USC00473058;106S;138S;236S;346S;442S;537S;587S;574S;492S;379S;280S;157S;10.6;13.8;23.6;34.6;44.2;53.7;58.7;57.4;49.2;37.9;28;15.7
USC00473116;106Q;134Q;239Q;350Q;446Q;546Q;601Q;586Q;503Q;397Q;281Q;157Q;10.6;13.4;23.9;35;44.6;54.6;60.1;58.6;50.3;39.7;28.1;15.7
USC00473174;28R;69R;169S;293S;390S;483R;530R;524S;448S;336S;221R;90R;2.8;6.9;16.9;29.3;39;48.3;53;52.4;44.8;33.6;22.1;9
USC00473186;-14C;29C;161C;296C;411C;503C;554C;532C;442C;329S;211C;59C;-1.4;2.9;16.1;29.6;41.1;50.3;55.4;53.2;44.2;32.9;21.1;5.9
USC00473268;83Q;119Q;222Q;346Q;448Q;547Q;596Q;578Q;489Q;387Q;274Q;146Q;8.3;11.9;22.2;34.6;44.8;54.7;59.6;57.8;48.9;38.7;27.4;14.6
USC00473271;77Q;117Q;208Q;340Q;448Q;544Q;589Q;579Q;484Q;386Q;270Q;131Q;7.7;11.7;20.8;34;44.8;54.4;58.9;57.9;48.4;38.6;27;13.1
